location,total_sqft,size,price
Electronics City Phase 1,1200.0,2,59.76
Ganga Nagar,1112.0,2,68.0
Raja Rajeshwari Nagar,3000.0,3,60.0
Mahadevpura,1136.0,2,64.5
Jigani,914.0,2,55.0
Rachenahalli,1050.0,2,47.25
Marathahalli,1385.0,3,68.5
Other,990.0,2,35.0
Yelahanka,845.0,2,43.0
Whitefield,1485.0,2,96.51
Kanakapura,1460.0,3,43.79
Thanisandra,1450.0,2,57.0
HSR Layout,1360.0,3,53.0
Singasandra,1375.0,2,58.0
Uttarahalli,1125.0,2,48.0
Banashankari,720.0,1,60.0
7th Phase JP Nagar,1460.0,3,100.0
Other,1107.0,2,40.0
Other,1158.0,2,75.0
Yelachenahalli,800.0,2,30.0
Sector 2 HSR Layout,600.0,9,90.0
Bhoganhalli,1760.0,3,128.0
Other,3200.0,4,200.0
HAL 2nd Stage,600.0,2,145.0
TC Palaya,1350.0,3,60.0
Giri Nagar,600.0,6,100.0
Other,1125.0,2,32.49
Frazer Town,1706.0,3,154.0
BTM Layout,1600.0,3,112.0
Other,1200.0,2,90.0
Whitefield,1755.0,3,101.0
Hulimavu,1200.0,2,50.0
Other,1200.0,2,67.0
Other,1266.67,2,69.0
Sector 7 HSR Layout,1200.0,3,275.0
Other,800.0,3,60.0
Whitefield,4800.0,4,550.0
Mysore Road,1029.5,2,50.855
Raja Rajeshwari Nagar,1128.0,2,40.0
Other,2000.0,2,160.0
Panathur,1210.0,2,80.0
Arekere,2710.0,4,142.0
Raja Rajeshwari Nagar,1151.0,2,39.0
Rajaji Nagar,7500.0,5,1700.0
Electronic City,1017.0,2,27.0
Sarjapur  Road,920.0,2,40.0
HRBR Layout,1200.0,4,180.0
Other,1000.0,5,140.0
Munnekollal,1750.0,3,86.5
Dasanapura,1163.0,2,65.0
Other,1800.0,3,95.0
CV Raman Nagar,1100.0,2,58.0
R.T. Nagar,1200.0,2,60.0
Ganga Nagar,1410.0,3,65.0
Begur Road,1933.0,3,98.0
Begur Road,1200.0,2,45.6
Whitefield,1608.0,3,63.0
Other,2679.0,4,280.0
Horamavu Banaswadi,1156.0,2,46.9
Other,1230.0,2,75.0
Kasavanhalli,770.0,1,43.82
Ardendale,1777.26,3,105.0
Kanakpura Road,1339.0,2,85.0
Sarjapur  Road,3044.0,3,183.0
Other,1080.0,2,44.8
Other,3150.0,8,145.0
Other,2400.0,2,135.0
Hulimavu,1450.0,3,72.0
Kothanur,1075.0,2,53.0
Sarjapur  Road,1163.0,3,62.0
Other,1200.0,8,135.0
Marathahalli,3090.0,4,325.0
Hebbal,1299.0,2,100.0
HRBR Layout,1170.0,2,75.0
JP Nagar,2195.0,3,152.0
Yelahanka,2600.0,4,175.0
KR Puram,1140.0,2,43.32
Kanakpura Road,1900.0,3,125.0
Electronic City,1110.0,2,39.95
HBR Layout,1089.0,2,60.0
Other,880.0,2,48.0
Kereguddadahalli,1080.0,2,32.0
Thanisandra,1093.0,2,68.1
Banashankari Stage III,1480.0,3,75.48
Hegde Nagar,1703.0,3,125.0
Hebbal,1200.0,2,60.0
Marathahalli,1690.0,3,116.0
Yelahanka,1305.0,2,78.0
Talaghattapura,1257.0,3,40.22
Other,1150.0,2,45.0
Other,1194.0,2,55.0
Other,2000.0,3,90.0
Anekal,1500.0,3,99.0
Other,1025.0,2,42.5
Horamavu Agara,980.0,2,38.19
Hosakerehalli,1200.0,3,100.0
Whitefield,2225.0,3,149.0
Other,1022.0,2,57.0
Other,882.0,4,72.0
Other,1153.0,2,45.0
Pai Layout,1175.0,2,60.0
Vidyaranyapura,1560.0,3,68.0
Yelahanka New Town,650.0,1,17.0
Other,600.0,3,65.0
Billekahalli,1350.0,2,55.0
Other,1200.0,2,76.0
Chandapura,800.0,2,25.0
Electronic City,2093.0,4,104.0
Bannerghatta Road,1275.0,2,73.0
Begur Road,1215.0,2,43.13
Begur Road,1444.0,3,71.5
Other,950.0,2,38.0
Padmanabhanagar,1000.0,2,90.0
Banashankari Stage II,1240.0,3,59.52
2nd Stage Nagarbhavi,600.0,4,125.0
Hennur,1231.0,2,50.0
Benson Town,1300.0,2,120.0
Yeshwanthpur,1713.0,3,110.0
Sarjapur  Road,3004.0,3,158.0
Sonnenahalli,1310.0,3,46.0
Jalahalli,790.0,2,49.5
Koramangala,1744.0,3,200.0
Other,1605.0,3,100.0
Whitefield,1250.0,2,82.0
Malleshwaram,2476.0,3,337.0
Subramanyapura,1260.0,3,76.0
Rajaji Nagar,1615.0,3,175.0
Yelahanka,1180.0,2,56.0
Uttarahalli,1255.0,3,50.19
Electronic City,1025.0,2,53.9
Sarjapur  Road,1877.0,3,150.0
Lakshminarayana Pura,1649.0,3,150.0
5th Block Hbr Layout,2600.0,9,675.0
Hennur,2500.0,5,125.0
Other,1542.0,3,98.0
Other,1012.0,2,42.0
Chandapura,1200.0,2,65.0
Sarjapur  Road,1115.0,2,43.0
Green Glen Layout,1680.0,3,95.0
Old Madras Road,1171.0,2,72.0
Tumkur Road,1027.0,2,68.62
Shampura,1700.0,3,75.0
Kanakapura,1090.0,2,38.15
Hennur Road,1232.0,2,74.0
Anekal,766.0,2,28.0
Banashankari Stage III,1200.0,5,180.0
Hosa Road,1286.0,3,109.0
JP Nagar,1452.0,3,41.0
Choodasandra,1254.0,3,65.0
Other,3600.0,5,110.0
Kanakpura Road,1593.0,3,118.0
Other,1333.0,2,77.27
Other,1100.0,3,110.0
Raja Rajeshwari Nagar,1375.0,3,54.99
Ardendale,1650.0,3,82.0
Thanisandra,1430.0,3,51.48
Electronic City,940.0,2,54.0
Electronic City,435.0,1,21.0
Begur Road,1160.0,2,36.54
Electronic City,1500.0,3,77.5
Koramangala,1890.0,3,100.0
Other,1050.0,2,70.0
Singasandra,1200.0,6,220.0
Haralur Road,1027.0,2,43.0
Whitefield,1495.0,3,61.28
Seegehalli,3000.0,3,235.0
Tumkur Road,1459.0,3,95.0
Yelahanka,1711.0,3,85.61
Hoodi,1250.0,2,98.0
Anandapura,875.0,2,57.0
Ramamurthy Nagar,1334.0,2,67.0
Other,1140.0,2,32.92
Amruthahalli,1200.0,3,200.0
Rajaji Nagar,1776.0,3,190.0
Thigalarapalya,2072.0,3,160.0
Kundalahalli,1600.0,3,170.0
Other,1200.0,6,115.0
Kengeri Satellite Town,920.0,2,39.0
Chandapura,778.0,2,25.29
Nagasandra,1310.0,4,95.0
Electronic City,1631.0,3,80.0
Kanakpura Road,525.0,1,27.5
Jalahalli,1395.0,3,82.0
Other,2000.0,3,105.0
Hennur Road,1232.0,2,66.0
Other,1075.0,2,55.0
Gubbalala,1205.0,2,70.0
Rayasandra,1179.0,3,55.0
Kodigehaali,1013.0,2,51.0
Uttarahalli,1160.0,2,40.6
Thyagaraja Nagar,1286.0,8,290.0
7th Phase JP Nagar,1200.0,2,62.5
Other,1200.0,7,80.0
Other,1100.0,3,145.0
Other,1200.0,3,99.0
Kudlu Gate,1400.0,1,285.0
Marathahalli,1065.0,2,55.0
Lakshminarayana Pura,1395.0,2,75.0
Hebbal Kempapura,1725.0,3,165.0
Kengeri,1436.0,3,55.0
Other,4250.0,6,150.0
Mysore Road,940.0,2,43.61
KR Puram,4300.0,6,175.0
Hebbal,2850.0,3,343.0
Indira Nagar,1740.0,3,191.0
Sadashiva Nagar,3761.0,3,650.0
Dodda Nekkundi,1829.0,3,125.0
Whitefield,1800.0,4,178.0
Other,1000.0,2,60.0
Other,5720.0,3,350.0
Other,675.0,2,15.0
Hebbal,1390.0,2,95.0
Lakshminarayana Pura,1500.0,3,104.0
Vijayanagar,2047.0,3,136.0
Jakkur,1202.0,2,79.0
Gunjur,2132.0,3,80.0
Raja Rajeshwari Nagar,1350.0,4,340.0
Whitefield,605.0,1,40.0
Harlur,1331.0,2,88.0
Margondanahalli,1200.0,2,69.0
Other,1150.0,2,250.0
Sahakara Nagar,1200.0,2,136.0
Other,1800.0,2,300.0
Kammanahalli,600.0,3,50.0
Other,1280.0,3,49.0
Balagere,1007.0,2,62.0
Thanisandra,1370.0,3,61.0
Kalkere,925.0,2,35.0
TC Palaya,1500.0,2,75.0
Attibele,450.0,1,12.5
Hennur Road,1341.0,2,95.0
Other,1350.0,3,47.25
Tumkur Road,992.0,2,60.0
Uttarahalli,1163.0,2,68.0
Sarjapur  Road,1229.0,2,70.0
Other,600.0,2,39.0
Electronic City Phase II,1219.0,2,61.26
Raja Rajeshwari Nagar,1525.0,3,99.13
Kasavanhalli,1147.0,2,60.0
Akshaya Nagar,1412.0,3,88.0
Munnekollal,1200.0,9,215.0
Sarjapur  Road,1044.0,2,34.77
Nagarbhavi,1190.0,2,63.0
Other,1240.0,3,65.0
Jigani,1352.0,3,65.0
Uttarahalli,1330.0,3,39.9
Other,1700.0,3,111.0
Electronic City,1355.0,2,67.0
Ramamurthy Nagar,1200.0,2,46.0
Kengeri,400.0,1,25.0
Sarjapur  Road,1342.0,2,70.0
Begur Road,1615.0,3,50.87
Other,1340.0,2,65.0
Yeshwanthpur,400.0,1,55.0
Devanahalli,1080.0,2,52.0
Other,1600.0,2,31.0
Electronic City,1200.0,2,34.0
Hennur Road,2700.0,3,150.0
Other,1780.0,3,110.0
Amruthahalli,1605.0,3,65.0
Ulsoor,7200.0,4,1584.0
Other,646.0,3,65.0
Kammanahalli,1200.0,2,80.0
Margondanahalli,900.0,2,49.0
Sarjapur,1830.0,3,88.0
Vishwapriya Layout,690.0,5,83.0
Other,650.0,1,500.0
Other,1800.0,5,68.0
Chandapura,715.0,3,32.0
Chandapura,1230.0,3,31.37
Uttarahalli,1065.0,2,42.59
Other,1350.0,8,185.0
Other,1080.0,3,149.0
Other,900.0,3,65.0
Other,946.0,2,45.0
Laggere,1500.0,1,60.0
Sarjapur  Road,1711.0,3,110.0
Other,1200.0,4,160.0
Chandapura,950.0,2,25.65
Kudlu Gate,1656.0,3,80.0
Uttarahalli,1075.0,2,46.76
Harlur,1752.12,3,133.0
Hebbal,6000.0,8,220.0
6th Phase JP Nagar,600.0,4,125.0
LB Shastri Nagar,665.0,1,32.0
Sector 2 HSR Layout,1665.0,3,110.0
Electronics City Phase 1,1145.0,2,54.0
Whitefield,1185.0,2,41.0
Other,1200.0,3,190.0
Marathahalli,1693.0,3,125.0
Other,2456.0,3,220.0
Rajaji Nagar,2559.0,3,403.0
Uttarahalli,1155.0,2,40.6
Other,1610.0,3,64.4
Whitefield,1200.0,3,56.58
Other,1530.0,2,185.0
EPIP Zone,1709.0,3,80.0
Amruthahalli,600.0,4,60.0
Brookefield,2700.0,8,290.0
Other,840.0,1,150.0
Gottigere,1400.0,3,50.0
KR Puram,1200.0,2,42.0
Other,1439.0,3,57.23
Kasavanhalli,1375.0,2,72.0
BTM 2nd Stage,2990.0,5,416.0
Vijayanagar,1200.0,3,75.0
Yelahanka,1315.0,2,75.0
Dommasandra,1500.0,2,40.0
Yelahanka,3600.0,6,200.0
Vijayanagar,1178.0,2,82.0
Bannerghatta Road,1430.0,3,59.0
Mahadevpura,1400.0,3,65.8
Thanisandra,1093.0,2,72.0
Horamavu Banaswadi,1200.0,2,45.0
Magadi Road,5000.0,5,360.0
1st Block Jayanagar,1200.0,3,130.0
Whitefield,2210.0,3,156.0
Uttarahalli,1150.0,2,70.0
Other,1435.0,3,60.0
Other,600.0,4,100.0
Whitefield,1173.0,2,78.2
Thanisandra,1140.0,2,39.0
Other,1717.0,3,120.0
Mallasandra,1325.0,2,65.0
Hoodi,1370.0,3,67.0
Electronics City Phase 1,1025.0,2,90.0
Other,1409.0,3,62.0
Bellandur,1200.0,2,52.0
Thanisandra,1200.0,2,53.5
Whitefield,1740.0,3,130.0
Hennur Road,1232.0,2,88.0
Whitefield,5924.0,4,625.0
Other,1250.0,2,50.0
Other,1475.0,2,171.0
Bommanahalli,2100.0,4,85.0
5th Phase JP Nagar,552.0,1,23.5
Uttarahalli,1065.0,3,42.59
Hennur,1000.0,3,130.0
Other,1225.0,2,65.0
Other,650.0,1,16.0
Padmanabhanagar,1067.0,2,52.0
Sarjapur,1364.0,3,56.0
Other,1750.0,3,75.0
Bannerghatta Road,1240.0,2,71.0
Hulimavu,1200.0,2,75.0
Kaggadasapura,1540.0,3,75.0
Other,1504.0,3,102.0
Other,1116.0,2,49.8
Hennur Road,2365.0,3,175.0
Sarjapura - Attibele Road,1308.0,2,37.0
Vijayanagar,864.0,2,45.0
Vidyaranyapura,1200.0,5,139.0
Hoskote,1069.0,3,38.0
Hebbal,1333.0,2,100.0
Other,1800.0,4,145.0
Devanahalli,6136.0,4,550.0
Thanisandra,1698.0,3,107.0
JP Nagar,1275.0,3,43.6
Raja Rajeshwari Nagar,1060.0,2,48.0
Hennur,1160.0,2,49.0
Sarjapur  Road,1484.0,3,65.0
Hosa Road,675.0,3,70.0
Other,1200.0,3,325.0
Hennur Road,1310.0,2,66.0
Vijayanagar,1806.0,6,370.0
Varthur,2145.0,3,165.0
Jigani,1230.0,3,60.0
Devanahalli,1200.0,3,145.0
Bommasandra Industrial Area,1310.0,3,37.83
Other,1150.0,2,60.0
Munnekollal,1385.0,3,66.5
Tumkur Road,1066.0,2,52.5
Thanisandra,2293.0,3,80.26
Tindlu,720.0,3,81.0
Other,1625.0,3,92.0
Vijayanagar,2100.0,4,252.0
Other,2400.0,4,250.0
Raja Rajeshwari Nagar,3900.0,6,195.0
7th Phase JP Nagar,1000.0,2,70.65
Nagavarapalya,907.0,2,38.0
Ulsoor,3500.0,4,138.0
Varthur,1395.0,3,79.0
Other,1180.0,2,50.0
Banaswadi,1903.0,5,140.0
Electronic City,1175.0,2,47.0
Other,1272.0,2,51.5
Other,1490.0,3,92.0
Yeshwanthpur,1144.0,2,67.0
Other,2400.0,4,140.0
Hormavu,1143.0,2,53.0
Karuna Nagar,2500.0,3,190.0
Other,1044.0,2,60.0
Prithvi Layout,1352.0,2,93.0
Hennur Road,1552.0,3,75.0
Bellandur,1785.0,3,120.0
Pai Layout,810.0,2,34.5
Banashankari Stage V,1650.0,3,51.98
Other,1595.0,3,70.39
Whitefield,1060.0,2,35.0
Babusapalaya,1410.0,3,65.0
Nagarbhavi,1523.0,3,56.0
Kanakpura Road,1591.0,3,122.0
Other,1640.0,3,84.0
Yelahanka New Town,450.0,1,16.0
Bannerghatta Road,1305.0,3,60.0
Kaggadasapura,1240.0,2,45.0
Dodda Nekkundi,1100.0,2,41.16
Koramangala,1180.0,2,128.0
Other,1567.2,3,190.0
Channasandra,1310.0,3,45.0
Yelahanka,26136.0,1,150.0
Other,959.0,2,42.5
8th Phase JP Nagar,1200.0,4,140.0
Yelahanka,1390.0,2,70.21
Hulimavu,1286.0,2,46.0
Kenchenahalli,1280.0,3,69.0
Other,1280.0,7,150.0
Kasturi Nagar,1000.0,2,58.0
Marathahalli,1196.0,2,57.9
Sarjapur  Road,1220.0,3,57.0
Ambalipura,950.0,2,31.95
Other,2400.0,9,325.0
Other,1141.0,2,55.0
5th Phase JP Nagar,1200.0,2,51.0
Kasavanhalli,1380.0,3,55.0
Doddathoguru,855.0,2,32.0
Chandapura,922.0,2,36.0
Nagappa Reddy Layout,1200.0,2,43.2
7th Phase JP Nagar,1070.0,2,42.0
Other,1293.0,2,75.0
R.T. Nagar,1380.0,3,50.0
Yelahanka New Town,1599.0,3,80.0
Nehru Nagar,967.0,2,41.1
Other,1885.0,3,90.0
1st Block Koramangala,860.0,2,65.5
Yelahanka,1075.0,1,19.5
Sarjapur  Road,1050.0,2,63.5
Marathahalli,1595.0,3,88.0
Sarjapur  Road,1350.0,2,102.0
Hebbal,1204.0,2,45.0
Sarjapur  Road,2990.0,4,240.0
Sarjapur  Road,1035.0,2,49.0
ITPL,1000.0,2,29.95
Sarjapur  Road,1457.0,3,85.0
Bannerghatta,1100.0,2,66.0
Whitefield,1655.0,3,120.0
Kanakpura Road,1691.2,3,115.0
Ramagondanahalli,1215.0,2,46.1
Kanakpura Road,1155.0,2,50.125
Hoodi,1639.0,3,129.0
Sarjapur  Road,1685.0,3,135.0
Other,1008.0,5,180.0
Hormavu,1100.0,2,38.0
Marathahalli,2122.0,3,125.0
Vasanthapura,1050.0,2,47.0
Kengeri,1230.0,2,45.0
5th Phase JP Nagar,1240.0,3,60.0
Electronic City Phase II,1252.0,3,65.0
Other,1374.0,3,88.0
8th Phase JP Nagar,500.0,1,30.0
Arekere,1200.0,8,225.0
Banashankari,1040.0,2,45.0
Sarjapur  Road,1350.0,2,68.0
Whitefield,4003.0,4,300.0
Hennur,2400.0,3,135.0
Haralur Road,1560.0,3,90.0
Anandapura,1151.0,2,43.16
Uttarahalli,1360.0,3,47.59
Chandapura,1110.0,3,29.97
Hennur Road,1015.0,2,50.0
Kadugodi,1351.0,3,78.0
Yelahanka New Town,960.0,2,50.0
Other,1110.0,2,52.0
R.T. Nagar,1680.0,3,72.0
Arekere,2400.0,3,180.0
Other,11000.0,4,2000.0
Other,1350.0,3,48.6
Horamavu Banaswadi,1254.0,2,47.0
Haralur Road,1255.0,3,115.0
CV Raman Nagar,1051.0,2,61.0
Other,1200.0,3,205.0
Uttarahalli,1099.0,2,65.0
Hebbal,2650.0,3,199.0
Other,2000.0,4,160.0
Yeshwanthpur,1541.0,2,130.0
Whitefield,1125.0,2,45.0
Vittasandra,1650.0,3,85.0
Other,834.0,1,62.0
Gollarapalya Hosahalli,1320.0,3,60.0
Malleshpalya,1200.0,3,149.0
Other,1000.0,8,160.0
Mysore Road,1500.0,3,74.0
Whitefield,4400.0,4,500.0
Kanakpura Road,1286.0,1,125.0
Other,600.0,1,52.0
Whitefield,1180.0,2,70.0
Kadugodi,1010.0,2,50.0
Channasandra,1070.0,2,38.0
Choodasandra,1580.0,3,105.0
Other,1200.0,4,325.0
Green Glen Layout,2000.0,3,165.0
Sanjay nagar,1200.0,3,76.0
Kalena Agrahara,1040.0,2,45.0
Hulimavu,1430.0,3,90.0
Domlur,650.0,1,70.0
Thanisandra,1564.0,3,105.0
Other,800.0,3,52.0
Hormavu,750.0,2,58.0
Kasavanhalli,1200.0,2,60.0
Begur Road,1200.0,2,44.4
Other,2000.0,4,135.0
Other,2750.0,3,260.0
Other,2400.0,4,480.0
Yelahanka,1650.0,3,105.0
1st Block Jayanagar,1235.0,2,148.0
Yelahanka,1200.0,2,55.0
Other,900.0,6,100.0
Kengeri Satellite Town,985.0,2,42.0
Ramagondanahalli,1475.0,3,63.0
Hebbal,3450.0,3,348.0
Sarjapur  Road,1157.0,3,53.99
Other,900.0,2,35.0
Gottigere,2500.0,4,120.0
GM Palaya,1030.0,2,60.0
Other,1000.0,2,46.0
Sarjapur  Road,3800.0,4,325.0
Kasavanhalli,4260.0,4,333.0
Brookefield,1950.0,5,175.0
Kudlu,1570.0,3,65.94
Kanakapura,1283.0,2,68.0
Electronic City Phase II,875.0,3,40.0
Other,1200.0,2,52.0
HAL 2nd Stage,2700.0,3,500.0
Konanakunte,2400.0,3,180.0
Old Madras Road,3630.0,4,196.0
Yelahanka,990.0,2,37.62
Other,1280.0,2,90.0
1st Block Jayanagar,2750.0,4,413.0
Other,1190.0,2,55.0
Yelachenahalli,1100.0,2,60.0
Other,2075.0,3,175.0
Harlur,1133.0,2,55.0
Somasundara Palya,2400.0,4,140.0
Whitefield,1280.0,2,69.0
Horamavu Agara,1250.0,3,65.0
Begur Road,1565.0,3,49.3
Other,1900.0,3,65.0
Munnekollal,1080.0,2,45.0
Battarahalli,600.0,1,47.0
Other,1240.0,3,180.0
HRBR Layout,1335.0,3,87.0
JP Nagar,3496.5,3,237.5
Sarjapur  Road,1385.0,3,55.0
Other,1578.0,3,73.9
Sarjapur  Road,1700.0,3,79.9
Vidyaranyapura,1120.0,2,70.0
Electronic City,435.0,1,22.0
Magadi Road,1116.0,2,51.89
Old Madras Road,1480.0,3,95.0
Hormavu,1000.0,2,50.0
HSR Layout,1145.0,2,46.0
Bommasandra,800.0,2,32.0
Thanisandra,1265.0,2,83.0
Devanahalli,1700.0,3,88.2
Other,1475.0,2,70.0
BTM 2nd Stage,1265.0,2,55.0
1st Phase JP Nagar,2180.0,3,210.0
Brookefield,1080.0,2,50.0
Whitefield,2023.0,3,130.0
Other,2400.0,2,125.0
Kadubeesanahalli,1545.0,3,66.0
Kalena Agrahara,1804.0,3,166.0
Other,1200.0,2,200.0
6th Phase JP Nagar,1350.0,3,58.0
Hoodi,1108.0,2,74.23
Marathahalli,1730.0,3,115.0
Other,1427.0,3,70.0
Yelahanka,935.0,2,35.53
Sarjapura - Attibele Road,1073.0,2,31.77
Ananth Nagar,960.0,2,37.0
Thigalarapalya,2215.0,3,150.0
Electronic City Phase II,1125.0,2,32.49
Brookefield,1230.0,2,55.0
Mahadevpura,1438.0,2,89.0
7th Phase JP Nagar,1080.0,2,75.0
Hebbal Kempapura,1200.0,3,125.0
Marathahalli,1200.0,2,103.0
Uttarahalli,1590.0,3,58.0
Raja Rajeshwari Nagar,1400.0,3,48.0
Kaggadasapura,1560.0,3,72.0
Mallasandra,1810.0,4,57.0
Other,2274.24,3,160.0
Sonnenahalli,1484.0,3,74.18
Indira Nagar,1650.0,3,220.0
Thanisandra,2280.0,3,184.0
Other,4900.0,5,980.0
Frazer Town,2079.0,3,220.0
Bharathi Nagar,1351.0,2,74.0
Kanakpura Road,1223.0,3,42.81
KR Puram,1430.0,3,61.0
Whitefield,3589.0,4,400.0
Channasandra,1800.0,4,300.0
Giri Nagar,1120.0,4,175.0
Sarjapur  Road,984.0,2,55.0
Jalahalli,1770.0,3,100.0
Other,900.0,2,105.0
Ramamurthy Nagar,1350.0,5,120.0
Margondanahalli,1140.0,2,60.0
Bommanahalli,1170.0,2,34.0
Other,1570.0,3,80.0
Nagappa Reddy Layout,1495.0,3,65.0
Hoodi,1530.0,3,67.0
Rajaji Nagar,900.0,5,140.0
Gunjur,1800.0,3,70.0
Bellandur,1088.0,2,48.0
Hosa Road,1533.0,3,98.18
Rachenahalli,1100.0,2,68.0
Thubarahalli,1540.0,3,90.0
Hebbal,1244.0,2,48.0
Hosa Road,1040.0,2,68.59
Other,1034.0,6,101.0
Begur Road,1260.0,2,39.69
Thigalarapalya,1245.0,2,100.0
Other,1350.0,3,75.0
Other,470.0,1,10.0
Vijayanagar,920.0,2,60.0
Other,2300.0,6,160.0
Sarjapur,1124.0,2,30.35
Yelahanka New Town,2095.0,4,109.0
Begur Road,1100.0,2,71.42
Vijayanagar,1019.0,2,58.0
Harlur,1756.0,3,128.0
Bommasandra,1280.0,3,50.0
Kenchenahalli,1200.0,4,125.0
Indira Nagar,1700.0,3,150.0
Whitefield,2134.0,3,118.0
Hosa Road,1369.1,2,98.0
Subramanyapura,600.0,3,69.0
Other,1313.0,3,150.0
Other,2515.0,3,155.0
Thigalarapalya,2215.0,3,154.0
Other,1440.0,3,72.0
Hennur Road,1186.0,3,55.33
Hebbal,1800.0,3,140.0
Kudlu,1600.0,3,79.0
GM Palaya,1000.0,2,35.0
Cunningham Road,2275.0,3,285.0
Binny Pete,1740.0,3,150.0
Malleshwaram,900.0,2,90.0
Benson Town,1567.0,2,140.0
Kambipura,1082.0,3,45.5
Nagarbhavi,1050.0,2,80.0
Other,1200.0,2,56.0
Begur,3500.0,3,185.0
Dasarahalli,1220.0,2,52.0
Binny Pete,1970.0,3,164.0
Other,2665.0,3,350.0
Kanakapura,2130.0,4,120.0
Harlur,1749.0,3,120.0
Subramanyapura,1260.0,2,108.0
Doddaballapur,1286.0,3,48.0
6th Phase JP Nagar,1170.0,2,120.0
Other,1670.0,3,75.0
Hennur Road,2264.0,3,168.0
Begur,1100.0,2,55.0
Chandapura,674.0,2,19.9
Koramangala,1320.0,2,160.0
Vishveshwarya Layout,600.0,4,85.0
Electronics City Phase 1,1125.0,2,65.0
Nagavara,1125.0,2,44.5
Other,700.0,2,29.0
BTM Layout,1300.0,3,75.0
JP Nagar,1600.0,3,83.0
Magadi Road,1052.0,3,60.0
Other,1140.0,4,145.0
 Devarachikkanahalli,1130.0,2,36.0
Other,1140.0,4,225.0
BTM 2nd Stage,2200.0,3,220.0
Electronic City,1500.0,3,63.0
Gottigere,1230.0,3,52.0
Haralur Road,1520.0,3,85.0
Kanakpura Road,525.0,1,26.25
Hosa Road,1040.0,2,61.0
Other,1300.0,3,67.0
Old Airport Road,2690.0,4,201.0
Domlur,780.0,1,70.0
Panathur,1140.0,2,51.2
Chandapura,1225.0,3,33.08
Nagavarapalya,646.0,1,25.84
Cox Town,1600.0,3,150.0
Kadugodi,1890.0,3,125.0
Other,1200.0,6,100.0
Whitefield,1458.0,3,62.0
Naganathapura,1200.0,5,86.0
Green Glen Layout,1970.0,3,160.0
Whitefield,1808.0,3,80.0
Balagere,1007.0,2,67.0
Doddathoguru,1105.0,2,50.0
Lakshminarayana Pura,1700.0,3,150.0
Raja Rajeshwari Nagar,1170.0,2,50.0
Chandapura,1080.0,2,45.0
Kaggalipura,1150.0,3,62.0
Ramamurthy Nagar,1200.0,2,57.9
Kudlu Gate,1656.0,3,75.0
Other,600.0,4,87.0
KR Puram,1040.0,2,50.0
Hosur Road,1085.0,2,33.7
Other,1215.0,3,49.75
NRI Layout,2150.0,4,115.0
Hoodi,1100.0,4,120.0
Panathur,1210.0,2,77.0
Other,1050.0,2,55.0
Other,600.0,3,70.0
Mysore Road,947.55,2,80.0
Malleshpalya,1421.0,2,90.0
Other,1050.0,6,155.0
Old Madras Road,1425.0,3,74.31
Budigere,1162.0,2,58.0
Whitefield,905.0,1,60.0
Sarjapur  Road,914.0,2,32.0
Other,1258.0,2,58.0
CV Raman Nagar,1100.0,4,220.0
Hormavu,3500.0,4,289.0
Poorna Pragna Layout,2400.0,7,450.0
Ramagondanahalli,4200.0,4,800.0
Whitefield,1537.0,3,70.0
Chikkalasandra,1230.0,3,53.51
Other,2400.0,6,300.0
Malleshwaram,2250.0,3,200.0
Hosur Road,2000.0,4,69.0
Other,3000.0,8,130.0
Kumaraswami Layout,2600.0,4,325.0
Indira Nagar,3200.0,4,250.0
Anjanapura,950.0,2,32.0
Marathahalli,4000.0,4,200.0
Yelahanka,1282.0,3,48.72
Banashankari Stage III,1304.0,2,111.0
7th Phase JP Nagar,2100.0,3,200.0
Jakkur,1220.0,3,49.0
7th Phase JP Nagar,1415.0,3,65.0
Bommenahalli,1286.0,3,217.0
Green Glen Layout,1728.0,3,125.0
Other,1235.0,2,140.0
Yelahanka,3990.0,4,260.0
Kasavanhalli,1495.0,2,83.0
Hennur Road,1500.0,5,175.0
Yeshwanthpur,2501.0,3,138.0
Kanakpura Road,381.0,1,28.0
Other,3301.8,4,570.0
Hennur Road,2002.0,3,120.0
Other,3200.0,3,260.0
Banjara Layout,1200.0,2,70.0
Sarjapur  Road,1500.0,4,235.0
Bommasandra,1942.0,3,90.0
Electronics City Phase 1,1522.5,3,60.75
Thyagaraja Nagar,660.0,1,95.0
Banashankari Stage III,1200.0,4,170.0
Other,1450.0,3,90.0
Electronic City,1039.0,2,50.0
Old Madras Road,1210.0,2,80.0
Attibele,995.0,2,24.88
Yelahanka,1620.0,3,90.0
Choodasandra,3204.0,3,395.0
Hebbal Kempapura,3408.0,3,260.0
Marathahalli,1314.0,2,55.0
Bisuvanahalli,945.0,2,33.0
Nehru Nagar,1374.0,3,72.0
Kanakpura Road,1603.0,3,113.0
Kengeri,1230.0,3,52.0
Other,670.0,1,50.0
Sarjapur  Road,1864.0,4,105.0
Hosa Road,2500.0,3,100.0
Raja Rajeshwari Nagar,1625.0,3,54.0
Whitefield,1186.0,2,55.0
KR Puram,1500.0,8,382.0
Electronic City,770.0,2,39.9
Varthur,1085.0,2,45.0
Dairy Circle,3754.0,4,480.0
Dodsworth Layout,1893.0,3,115.0
Kundalahalli,1496.0,3,78.0
Electronics City Phase 1,1550.0,3,82.0
Marathahalli,1200.0,3,58.17
